,DriverNumber,Season,RoundNumber,TeamName,Position,QualiPosition,FastestTime,LastFinish,RollingAverage3,RollingStd3,Delta
369,44,2025,11,Ferrari,4.0,4.0,64.582,6.0,5.666666666666667,0.5773502691896126,0.6109999999999971
370,44,2025,12,Ferrari,4.0,5.0,85.084,4.0,5.333333333333333,1.1547005383792448,0.1920000000000072
371,44,2025,13,Ferrari,7.0,16.0,101.939,4.0,4.666666666666667,1.1547005383792448,1.3769999999999951
372,44,2025,14,Ferrari,12.0,12.0,75.702,7.0,5.0,1.732050807568873,0.8119999999999976
373,44,2025,15,Ferrari,20.0,7.0,69.261,12.0,7.666666666666667,4.041451884327379,0.5989999999999895
374,44,2025,16,Ferrari,6.0,5.0,79.124,20.0,13.0,6.557438524302,0.3319999999999936
375,44,2025,17,Ferrari,8.0,12.0,101.821,6.0,12.666666666666666,7.023769168568491,0.7039999999999935
376,44,2025,18,Ferrari,8.0,6.0,89.688,8.0,11.333333333333334,7.571877794400364,0.5300000000000011
377,44,2025,19,Ferrari,4.0,5.0,92.912,8.0,7.333333333333333,1.1547005383792452,0.402000000000001
378,44,2025,20,Ferrari,8.0,3.0,75.938,4.0,6.666666666666667,2.3094010767585,0.3520000000000038
379,44,2025,21,Ferrari,20.0,13.0,70.016,8.0,6.666666666666667,2.3094010767585,0.5050000000000097
380,44,2025,22,Ferrari,8.0,20.0,117.115,20.0,10.666666666666666,8.32666399786453,9.180999999999996
381,44,2025,23,Ferrari,12.0,18.0,80.907,8.0,12.0,6.928203230275508,1.519999999999996
382,44,2025,24,Ferrari,8.0,16.0,83.394,12.0,13.333333333333334,6.110100926607784,1.1870000000000118
383,55,2025,1,Williams,20.0,10.0,75.931,10.0,20.0,0.0,0.8349999999999937
384,55,2025,2,Williams,10.0,15.0,91.628,20.0,20.0,0.0,0.9869999999999948
385,55,2025,3,Williams,14.0,12.0,87.836,10.0,15.0,7.071067811865476,0.8529999999999944
386,55,2025,4,Williams,20.0,8.0,90.68,14.0,14.666666666666666,5.033222956847166,0.8390000000000128
387,55,2025,5,Williams,8.0,6.0,88.024,20.0,14.666666666666666,5.033222956847166,0.730000000000004
388,55,2025,6,Williams,9.0,6.0,86.569,8.0,14.0,6.0,0.3650000000000091
389,55,2025,7,Williams,8.0,6.0,75.198,9.0,12.333333333333334,6.658328118479393,0.5279999999999916
390,55,2025,8,Williams,10.0,11.0,71.362,8.0,8.333333333333334,0.5773502691896321,1.4080000000000013
391,55,2025,9,Williams,14.0,18.0,73.203,10.0,9.0,1.0000000000000036,1.6569999999999965
392,55,2025,10,Williams,10.0,17.0,72.398,14.0,10.666666666666666,3.055050463303895,1.4989999999999952
393,55,2025,11,Williams,20.0,19.0,65.582,10.0,11.333333333333334,2.3094010767585056,1.610999999999997
394,55,2025,12,Williams,12.0,11.0,85.746,20.0,14.666666666666666,5.033222956847168,0.8539999999999992
395,55,2025,13,Williams,18.0,15.0,101.691,12.0,14.0,5.291502622129182,1.1290000000000049
396,55,2025,14,Williams,14.0,13.0,75.652,18.0,16.666666666666668,4.163331998932267,0.7620000000000005
397,55,2025,15,Williams,13.0,9.0,69.472,14.0,14.666666666666666,3.0550504633038966,0.8099999999999881
398,55,2025,16,Williams,11.0,13.0,79.528,13.0,15.0,2.645751311064594,0.7360000000000042
399,55,2025,17,Williams,3.0,2.0,101.595,11.0,12.666666666666666,1.5275252316519523,0.4779999999999944
400,55,2025,18,Williams,10.0,20.0,90.235,3.0,9.0,5.291502622129183,1.0769999999999982
401,55,2025,19,Williams,20.0,9.0,93.124,10.0,8.0,4.358898943540676,0.6139999999999901
402,55,2025,20,Williams,17.0,7.0,76.172,20.0,11.0,8.544003745317532,0.5859999999999985
403,55,2025,21,Williams,13.0,15.0,70.184,17.0,15.666666666666666,5.131601439446886,0.6730000000000018
404,55,2025,22,Williams,5.0,3.0,108.296,13.0,16.666666666666668,3.511884584284249,0.362000000000009
405,55,2025,23,Williams,3.0,7.0,80.251,5.0,11.666666666666666,6.11010092660779,0.8640000000000043
406,55,2025,24,Williams,13.0,12.0,83.042,3.0,7.0,5.291502622129187,0.835000000000008
407,63,2025,1,Mercedes,3.0,4.0,75.546,10.0,3.0,0.0,0.4500000000000028
408,63,2025,2,Mercedes,3.0,2.0,90.723,3.0,3.0,0.0,0.0819999999999936
409,63,2025,3,Mercedes,5.0,5.0,87.318,3.0,3.0,0.0,0.3349999999999937
410,63,2025,4,Mercedes,2.0,2.0,90.009,5.0,3.6666666666666665,1.1547005383792517,0.1680000000000063
411,63,2025,5,Mercedes,5.0,3.0,87.407,2.0,3.333333333333333,1.5275252316519468,0.1129999999999995
412,63,2025,6,Mercedes,3.0,5.0,86.385,5.0,4.0,1.7320508075688774,0.1810000000000116
413,63,2025,7,Mercedes,7.0,3.0,74.807,3.0,3.333333333333333,1.5275252316519468,0.1370000000000004
414,63,2025,8,Mercedes,11.0,14.0,71.507,7.0,5.0,2.0,1.5530000000000117
