,DriverNumber,RoundNumber,FastestTime
382,14,20,0 days 00:01:17.103000
383,16,20,0 days 00:01:15.848000
384,18,20,0 days 00:01:17.606000
385,22,20,0 days 00:01:16.816000
386,23,20,0 days 00:01:17.490000
387,27,20,0 days 00:01:17.016000
388,30,20,0 days 00:01:16.961000
389,31,20,0 days 00:01:16.837000
390,43,20,0 days 00:01:17.670000
391,44,20,0 days 00:01:15.938000
392,55,20,0 days 00:01:16.172000
393,63,20,0 days 00:01:16.034000
394,81,20,0 days 00:01:16.174000
395,87,20,0 days 00:01:16.460000
396,1,21,0 days 00:01:10.403000
397,4,21,0 days 00:01:09.511000
398,6,21,0 days 00:01:09.931000
399,10,21,0 days 00:01:09.857000
400,12,21,0 days 00:01:09.685000
401,14,21,0 days 00:01:10.001000
402,16,21,0 days 00:01:09.801000
403,18,21,0 days 00:01:10.041000
404,22,21,0 days 00:01:10.711000
405,23,21,0 days 00:01:10.053000
406,27,21,0 days 00:01:09.985000
407,30,21,0 days 00:01:09.950000
408,31,21,0 days 00:01:10.438000
409,43,21,0 days 00:01:10.632000
410,44,21,0 days 00:01:10.016000
411,55,21,0 days 00:01:10.184000
412,63,21,0 days 00:01:09.880000
413,81,21,0 days 00:01:09.835000
414,87,21,0 days 00:01:09.755000
415,1,22,0 days 00:01:48.257000
416,4,22,0 days 00:01:47.934000
417,5,22,0 days 00:01:56.674000
418,6,22,0 days 00:01:49.554000
419,10,22,0 days 00:01:51.540000
420,12,22,0 days 00:01:56.314000
421,14,22,0 days 00:01:49.466000
422,16,22,0 days 00:01:49.872000
423,18,22,0 days 00:01:52.850000
424,22,22,0 days 00:01:56.798000
425,23,22,0 days 00:01:56.220000
426,27,22,0 days 00:01:52.781000
427,30,22,0 days 00:01:49.062000
428,31,22,0 days 00:01:52.987000
429,43,22,0 days 00:01:53.683000
430,44,22,0 days 00:01:57.115000
431,55,22,0 days 00:01:48.296000
432,63,22,0 days 00:01:48.803000
433,81,22,0 days 00:01:48.961000
434,87,22,0 days 00:01:53.094000
435,1,23,0 days 00:01:19.651000
436,4,23,0 days 00:01:19.495000
437,5,23,0 days 00:01:20.534000
438,6,23,0 days 00:01:20.114000
439,10,23,0 days 00:01:20.324000
440,12,23,0 days 00:01:19.846000
441,14,23,0 days 00:01:20.219000
442,16,23,0 days 00:01:20.343000
443,18,23,0 days 00:01:21.058000
444,22,23,0 days 00:01:20.761000
445,23,23,0 days 00:01:20.629000
446,27,23,0 days 00:01:20.353000
447,30,23,0 days 00:01:20.433000
448,31,23,0 days 00:01:20.864000
449,43,23,0 days 00:01:21.137000
450,44,23,0 days 00:01:20.907000
451,55,23,0 days 00:01:20.251000
452,63,23,0 days 00:01:19.662000
453,81,23,0 days 00:01:19.387000
454,87,23,0 days 00:01:20.438000
455,1,24,0 days 00:01:22.207000
456,4,24,0 days 00:01:22.408000
457,5,24,0 days 00:01:22.874000
458,6,24,0 days 00:01:22.997000
459,10,24,0 days 00:01:23.468000
460,12,24,0 days 00:01:22.894000
461,14,24,0 days 00:01:22.861000
462,16,24,0 days 00:01:22.730000
463,18,24,0 days 00:01:23.097000
464,22,24,0 days 00:01:23.034000
465,23,24,0 days 00:01:23.416000
466,27,24,0 days 00:01:23.450000
467,30,24,0 days 00:01:23.077000
468,31,24,0 days 00:01:22.913000
469,43,24,0 days 00:01:23.890000
470,44,24,0 days 00:01:23.394000
471,55,24,0 days 00:01:23.042000
472,63,24,0 days 00:01:22.645000
473,81,24,0 days 00:01:22.437000
474,87,24,0 days 00:01:23.041000
