DriverNumber,RoundNumber,Position,LastFinish,RollingAverage3,RollingStd3,FastestTime,Delta
23,15,5.0,15.0,9.666666666666666,4.725815626252611,69.652,0.9899999999999949
23,16,7.0,5.0,8.666666666666666,5.507570547286105,79.583,0.7909999999999968
23,17,13.0,7.0,9.0,5.291502622129184,103.778,2.6610000000000014
23,18,14.0,13.0,8.333333333333334,4.16333199893227,90.202,1.043999999999997
23,19,14.0,14.0,11.333333333333334,3.785938897200184,94.69,2.1799999999999926
23,20,12.0,14.0,13.666666666666666,0.5773502691896226,77.49,1.9039999999999964
23,21,11.0,12.0,13.333333333333334,1.1547005383792508,70.053,0.5420000000000016
23,22,20.0,11.0,12.333333333333334,1.5275252316519485,116.22,8.286000000000001
23,23,11.0,20.0,14.333333333333334,4.932882862316246,80.629,1.2420000000000044
23,24,16.0,11.0,14.0,5.196152422706631,83.416,1.2090000000000032
27,1,7.0,,7.0,0.0,76.579,1.4829999999999899
27,2,15.0,7.0,7.0,0.0,91.632,0.9909999999999997
27,3,16.0,15.0,11.0,5.656854249492381,88.57,1.586999999999989
27,4,20.0,16.0,12.666666666666666,4.932882862316248,92.067,2.225999999999999
27,5,15.0,20.0,17.0,2.6457513110645916,88.782,1.4879999999999995
27,6,14.0,15.0,17.0,2.6457513110645916,87.473,1.2690000000000055
27,7,12.0,14.0,16.333333333333332,3.214550253664319,76.518,1.847999999999999
27,8,16.0,12.0,13.666666666666666,1.5275252316519445,71.596,1.6420000000000101
27,9,5.0,16.0,14.0,1.9999999999999982,73.19,1.6439999999999912
27,10,8.0,5.0,11.0,5.5677643628300215,72.183,1.284000000000006
27,11,9.0,8.0,9.666666666666666,5.686240703077327,65.606,1.634999999999998
27,12,3.0,9.0,7.333333333333333,2.0816659994661313,86.574,1.6820000000000022
27,13,12.0,3.0,6.666666666666667,3.2145502536643176,101.707,1.144999999999996
27,14,13.0,12.0,8.0,4.58257569495584,76.081,1.1910000000000025
27,15,14.0,13.0,9.333333333333334,5.507570547286101,70.195,1.532999999999987
27,16,20.0,14.0,13.0,0.9999999999999962,79.498,0.7060000000000031
27,17,16.0,20.0,15.666666666666666,3.785938897200182,102.916,1.7989999999999924
27,18,20.0,16.0,16.666666666666668,3.055050463303893,90.141,0.9830000000000041
27,19,8.0,20.0,18.666666666666668,2.3094010767585016,93.334,0.8239999999999981
27,20,20.0,8.0,14.666666666666666,6.110100926607786,77.016,1.4300000000000068
27,21,9.0,20.0,16.0,6.928203230275509,69.985,0.47400000000000375
27,22,7.0,9.0,12.333333333333334,6.6583281184793925,112.781,4.847000000000008
27,23,20.0,7.0,12.0,6.999999999999999,80.353,0.965999999999994
27,24,9.0,20.0,12.0,6.999999999999999,83.45,1.2430000000000092
30,1,20.0,,20.0,0.0,77.094,1.9979999999999905
30,2,12.0,20.0,20.0,0.0,92.174,1.5330000000000013
30,3,17.0,12.0,16.0,5.656854249492381,87.906,0.9230000000000018
30,4,16.0,17.0,16.333333333333332,4.041451884327381,92.165,2.3240000000000123
30,5,12.0,16.0,15.0,2.6457513110645903,88.191,0.8970000000000056
30,6,20.0,12.0,15.0,2.6457513110645903,87.363,1.159000000000006
30,7,14.0,20.0,16.0,4.0,76.379,1.7090000000000032
30,8,8.0,14.0,15.333333333333334,4.163331998932265,71.129,1.1750000000000114
30,9,11.0,8.0,14.0,5.999999999999999,72.763,1.2169999999999987
30,10,20.0,11.0,11.0,2.9999999999999956,72.525,1.6260000000000048
30,11,6.0,20.0,13.0,6.244997998398397,64.926,0.9550000000000054
30,12,20.0,6.0,12.333333333333334,7.094598884597586,86.44,1.5480000000000018
